transaction_id,customer_id,transaction_date,order_value_gbp,discount_used,returned,channel
TXN-0-1,CUST-100000,2024-11-28,103.68,1,0,Organic Search
TXN-0-2,CUST-100000,2025-02-05,100.7,1,0,Organic Search
TXN-0-3,CUST-100000,2025-05-01,105.07,1,0,Organic Search
TXN-0-4,CUST-100000,2025-04-21,114.21,0,0,Organic Search
TXN-0-5,CUST-100000,2024-11-30,128.93,0,0,Organic Search
TXN-0-6,CUST-100000,2024-12-22,124.9,0,0,Organic Search
TXN-0-7,CUST-100000,2024-11-24,66.3,0,1,Organic Search
TXN-0-8,CUST-100000,2025-04-27,115.18,0,0,Organic Search
TXN-0-9,CUST-100000,2024-12-28,121.95,1,0,Organic Search
TXN-0-10,CUST-100000,2024-12-13,90.88,0,0,Organic Search
TXN-1-1,CUST-100001,2024-05-22,83.06,1,1,Organic Search
TXN-1-2,CUST-100001,2025-09-05,67.25,1,1,Organic Search
TXN-1-3,CUST-100001,2025-07-07,58.8,1,1,Organic Search
TXN-1-4,CUST-100001,2024-05-08,55.57,0,1,Organic Search
TXN-1-5,CUST-100001,2024-06-01,78.49,0,1,Organic Search
TXN-2-1,CUST-100002,2024-11-06,186.78,0,0,Organic Search
TXN-2-2,CUST-100002,2024-12-06,142.32,0,0,Organic Search
TXN-2-3,CUST-100002,2025-04-06,98.2,0,0,Organic Search
TXN-2-4,CUST-100002,2024-10-25,134.57,0,0,Organic Search
TXN-2-5,CUST-100002,2025-01-11,129.29,1,1,Organic Search
TXN-2-6,CUST-100002,2024-09-23,163.96,0,0,Organic Search
TXN-2-7,CUST-100002,2025-05-06,121.57,0,0,Organic Search
TXN-2-8,CUST-100002,2024-10-19,124.7,1,1,Organic Search
TXN-2-9,CUST-100002,2024-12-03,108.73,0,1,Organic Search
TXN-2-10,CUST-100002,2025-01-13,133.83,1,1,Organic Search
TXN-2-11,CUST-100002,2025-05-22,121.57,0,0,Organic Search
TXN-2-12,CUST-100002,2025-03-22,136.88,0,1,Organic Search
TXN-2-13,CUST-100002,2025-01-20,133.3,0,1,Organic Search
TXN-3-1,CUST-100003,2025-02-08,63.33,0,0,Organic Search
TXN-3-2,CUST-100003,2025-07-04,68.9,0,0,Organic Search
TXN-3-3,CUST-100003,2024-09-21,158.55,0,1,Organic Search
TXN-3-4,CUST-100003,2024-11-24,116.03,0,0,Organic Search
TXN-3-5,CUST-100003,2024-08-30,108.98,1,0,Organic Search
TXN-3-6,CUST-100003,2024-12-17,116.94,0,0,Organic Search
TXN-3-7,CUST-100003,2024-10-07,105.83,0,1,Organic Search
TXN-3-8,CUST-100003,2025-10-12,117.86,1,0,Organic Search
TXN-3-9,CUST-100003,2024-08-14,140.14,0,1,Organic Search
TXN-3-10,CUST-100003,2024-08-10,102.62,0,1,Organic Search
TXN-3-11,CUST-100003,2025-09-14,137.52,0,0,Organic Search
TXN-3-12,CUST-100003,2025-09-01,95.28,0,0,Organic Search
TXN-3-13,CUST-100003,2026-01-09,102.94,0,0,Organic Search
